epoch,step,train_loss,val_loss
0,936,,0.776422917842865
0,936,0.8809381127357483,
1,1873,,0.7732989192008972
1,1873,0.7927579879760742,
2,2810,,0.7682278752326965
2,2810,0.7752148509025574,
3,3747,,0.7589309215545654
3,3747,0.7714671492576599,
4,4684,,0.76528000831604
4,4684,0.7577933669090271,
5,5621,,0.7903730273246765
5,5621,0.763828694820404,
6,6558,,0.735932469367981
6,6558,0.7530856728553772,
7,7495,,0.8108415007591248
7,7495,0.7533537149429321,
8,8432,,0.7539176344871521
8,8432,0.7425068020820618,
9,9369,,0.7891445159912109
9,9369,0.7460147738456726,
