epoch,step,train_loss,val_loss
0,234,,1.0250892639160156
0,234,1.0634993314743042,
1,469,,0.9489615559577942
1,469,0.9061627984046936,
2,704,,1.0180256366729736
2,704,0.8254939913749695,
3,939,,0.899773895740509
3,939,0.7901202440261841,
4,1174,,0.8051601648330688
4,1174,0.7263648509979248,
5,1409,,0.790043830871582
5,1409,0.6867067217826843,
6,1644,,0.7904840111732483
6,1644,0.6556800007820129,
7,1879,,0.7670557498931885
7,1879,0.6328290700912476,
8,2114,,0.6960511803627014
8,2114,0.6208667755126953,
9,2349,,0.7622189521789551
9,2349,0.5761734843254089,
