epoch,step,train_loss,val_loss
0,234,,1.271813154220581
0,234,1.0362083911895752,
1,469,,1.1178256273269653
1,469,0.9302224516868591,
2,704,,0.9400933384895325
2,704,0.8378168344497681,
3,939,,0.7778692245483398
3,939,0.7836300730705261,
4,1174,,0.8460471034049988
4,1174,0.7314286828041077,
5,1409,,0.8194479942321777
5,1409,0.7168706655502319,
6,1644,,0.9033685922622681
6,1644,0.6739947199821472,
7,1879,,0.755990743637085
7,1879,0.6625027656555176,
8,2114,,0.7024319171905518
8,2114,0.6434941291809082,
9,2349,,0.7212986350059509
9,2349,0.5972943902015686,
