epoch,step,train_loss,val_loss
0,234,,0.8343674540519714
0,234,0.9287864565849304,
1,469,,0.8689031600952148
1,469,0.7860183119773865,
2,704,,0.7907779216766357
2,704,0.7600362300872803,
3,939,,0.7600855827331543
3,939,0.7461737394332886,
4,1174,,0.7763828635215759
4,1174,0.7298786044120789,
5,1409,,0.7600387334823608
5,1409,0.7317441701889038,
6,1644,,0.7934606075286865
6,1644,0.7175622582435608,
7,1879,,0.7843704223632812
7,1879,0.7224381566047668,
8,2114,,0.7833722829818726
8,2114,0.7231549024581909,
9,2349,,0.7659556865692139
9,2349,0.7064749002456665,
