epoch,step,train_loss,val_loss
0,234,,0.7968754768371582
0,234,0.9229421019554138,
1,469,,0.7587113380432129
1,469,0.7457966804504395,
2,704,,0.7923285365104675
2,704,0.7160360217094421,
3,939,,0.7413037419319153
3,939,0.7114162445068359,
4,1174,,0.7374045252799988
4,1174,0.6901677250862122,
5,1409,,0.7421877384185791
5,1409,0.6849189400672913,
6,1644,,0.7276965975761414
6,1644,0.6747736930847168,
7,1879,,0.7469472289085388
7,1879,0.6719185709953308,
8,2114,,0.7310551404953003
8,2114,0.6836132407188416,
9,2349,,0.7211273908615112
9,2349,0.6642215847969055,
