epoch,step,train_loss,val_loss
0,234,,0.7585488557815552
0,234,0.7051109075546265,
1,469,,0.5826336145401001
1,469,0.5317484140396118,
2,704,,0.9055399298667908
2,704,0.4345056414604187,
3,939,,0.8062865138053894
3,939,0.3514452874660492,
4,1174,,0.7823277115821838
4,1174,0.2620950937271118,
5,1409,,0.9466049075126648
5,1409,0.20498189330101013,
6,1644,,0.8380738496780396
6,1644,0.1317806839942932,
7,1879,,1.0020982027053833
7,1879,0.13062246143817902,
8,2114,,1.0660767555236816
8,2114,0.12767477333545685,
9,2349,,1.125375747680664
9,2349,0.06875017285346985,
