epoch,step,train_loss,val_loss
0,234,,1.0414754152297974
0,234,1.0669904947280884,
1,469,,0.9597289562225342
1,469,0.9162817597389221,
2,704,,1.0080903768539429
2,704,0.8292039036750793,
3,939,,0.8460191488265991
3,939,0.7801292538642883,
4,1174,,0.9064359664916992
4,1174,0.7227667570114136,
5,1409,,0.832841694355011
5,1409,0.6825865507125854,
6,1644,,0.7947342991828918
6,1644,0.6514713168144226,
7,1879,,0.9015659093856812
7,1879,0.623125433921814,
8,2114,,0.6969625949859619
8,2114,0.609296977519989,
9,2349,,0.7629592418670654
9,2349,0.5655081868171692,
