epoch,step,train_loss,val_loss
0,936,,0.813144326210022
0,936,0.9549462795257568,
1,1873,,0.7923752665519714
1,1873,0.8818823099136353,
2,2810,,0.7958858609199524
2,2810,0.8636536598205566,
3,3747,,0.7982527613639832
3,3747,0.8644172549247742,
4,4684,,0.783869743347168
4,4684,0.8497411608695984,
5,5621,,0.7989055514335632
5,5621,0.8568260669708252,
6,6558,,0.759457528591156
6,6558,0.8443304300308228,
7,7495,,0.8746280670166016
7,7495,0.8523468375205994,
8,8432,,0.7924705147743225
8,8432,0.8450262546539307,
9,9369,,0.7887566685676575
9,9369,0.8468301296234131,
