epoch,step,train_loss,val_loss
0,936,,0.7756744027137756
0,936,0.8733107447624207,
1,1873,,0.7737058401107788
1,1873,0.7848717570304871,
2,2810,,0.7741549611091614
2,2810,0.7672308683395386,
3,3747,,0.752385139465332
3,3747,0.7635111212730408,
4,4684,,0.7586299777030945
4,4684,0.7481377124786377,
5,5621,,0.8196904063224792
5,5621,0.7542971968650818,
6,6558,,0.7358139753341675
6,6558,0.7440956234931946,
7,7495,,0.8180567622184753
7,7495,0.7487984299659729,
8,8432,,0.769019365310669
8,8432,0.7384299039840698,
9,9369,,0.7773275971412659
9,9369,0.7399446368217468,
