epoch,step,train_acc,train_loss,val_acc,val_loss
0,468,,,0.7214953303337097,0.7829805016517639
0,468,0.6775722503662109,0.8857647776603699,,
1,937,,,0.7168224453926086,0.788573145866394
1,937,0.7144287824630737,0.7746694684028625,,
2,1406,,,0.7348909378051758,0.7630006670951843
2,1406,0.7201041579246521,0.7503812313079834,,
3,1875,,,0.6987538933753967,0.8136716485023499
3,1875,0.725712776184082,0.7433459758758545,,
4,2344,,,0.7028037309646606,0.8214046955108643
4,2344,0.7255124449729919,0.7401927709579468,,
5,2813,,,0.722741425037384,0.7653404474258423
5,2813,0.7311878204345703,0.7289405465126038,,
6,3282,,,0.6557632684707642,0.881569504737854
6,3282,0.7325899600982666,0.720255434513092,,
7,3751,,,0.6707165241241455,0.8951898217201233
7,3751,0.7339253425598145,0.7265083193778992,,
8,4220,,,0.7280373573303223,0.7685646414756775
8,4220,0.7367964386940002,0.7173429131507874,,
9,4689,,,0.7186915874481201,0.8001643419265747
9,4689,0.7377979755401611,0.7161954045295715,,
