epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7037383317947388,0.8387171030044556
0,234,0.6718969345092773,0.9086000919342041,,
1,469,,,0.7028037309646606,0.8185884356498718
1,469,0.7131601572036743,0.7739076614379883,,
2,704,,,0.7249221205711365,0.7645047903060913
2,704,0.725712776184082,0.7435998320579529,,
3,939,,,0.6473520398139954,0.9177294969558716
3,939,0.7325232028961182,0.7289156317710876,,
4,1174,,,0.6906542181968689,0.845915675163269
4,1174,0.733324408531189,0.7201865911483765,,
