epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7436137199401855,0.7103003263473511
0,234,0.7584295868873596,0.6636027693748474,,
1,469,,,0.7713395357131958,0.6404497623443604
1,469,0.8070374727249146,0.5350193977355957,,
2,704,,,0.781931459903717,0.6150833368301392
2,704,0.8428924083709717,0.4460294842720032,,
3,939,,,0.7809968590736389,0.6150361895561218
3,939,0.8763437271118164,0.3732321858406067,,
4,1174,,,0.7841121554374695,0.6089189052581787
4,1174,0.9000467658042908,0.3119840621948242,,
