epoch,step,train_acc,train_loss,val_acc,val_loss
0,468,,,0.8071650862693787,0.5750561952590942
0,468,0.769045889377594,0.6454036831855774,,
1,937,,,0.800000011920929,0.6049004197120667
1,937,0.8790144920349121,0.3383847177028656,,
2,1406,,,0.8024922013282776,0.8014270663261414
2,1406,0.9480536580085754,0.1545332372188568,,
3,1875,,,0.7813084125518799,0.8997636437416077
3,1875,0.9695532917976379,0.09193496406078339,,
4,2344,,,0.800000011920929,0.8350613117218018
4,2344,0.9713560938835144,0.08724112808704376,,
5,2813,,,0.8102803826332092,0.9677215814590454
5,2813,0.9751619100570679,0.07173377275466919,,
6,3282,,,0.7925233840942383,0.9243214726448059
6,3282,0.9776323437690735,0.06255022436380386,,
7,3751,,,0.7903426885604858,1.0433461666107178
7,3751,0.9836415648460388,0.04900549352169037,,
8,4220,,,0.7875389456748962,1.042453646659851
8,4220,0.9830406904220581,0.05139928683638573,,
9,4689,,,0.8034268021583557,0.9614839553833008
9,4689,0.9822394251823425,0.05106218904256821,,
