epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7613707184791565,0.6584126353263855
0,234,0.7606329917907715,0.6579864621162415,,
1,469,,,0.7816199660301208,0.6182326674461365
1,469,0.8063697814941406,0.5383449792861938,,
2,704,,,0.7984423637390137,0.586252748966217
2,704,0.8374173641204834,0.45668330788612366,,
3,939,,,0.7878504395484924,0.6064732670783997
3,939,0.8700006604194641,0.3842207193374634,,
4,1174,,,0.7984423637390137,0.5860611200332642
4,1174,0.8911664485931396,0.327823281288147,,
