epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.6943925023078918,0.8314575552940369
0,234,0.6491954326629639,0.9795302748680115,,
1,469,,,0.7031152844429016,0.8157468438148499
1,469,0.6865193247795105,0.8618417382240295,,
2,704,,,0.7171339392662048,0.7774121761322021
2,704,0.6927288770675659,0.843605101108551,,
3,939,,,0.677570104598999,0.8890334963798523
3,939,0.7007411122322083,0.8276297450065613,,
4,1174,,,0.717756986618042,0.7742293477058411
4,1174,0.7008079290390015,0.8161145448684692,,
