epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7489096522331238,0.698193371295929
0,234,0.7250450849533081,0.7599648833274841,,
1,469,,,0.7654205560684204,0.6631278991699219
1,469,0.7553582191467285,0.6731517910957336,,
2,704,,,0.7707164883613586,0.6428643465042114
2,704,0.7749215364456177,0.6203184127807617,,
3,939,,,0.7828660607337952,0.6251029968261719
3,939,0.7900781035423279,0.5763025283813477,,
4,1174,,,0.7838006019592285,0.6184492707252502
4,1174,0.8082392811775208,0.5367710590362549,,
