epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7283489108085632,0.7909325957298279
0,234,0.672831654548645,0.900611400604248,,
1,469,,,0.7214953303337097,0.7735584378242493
1,469,0.7197035551071167,0.7660003304481506,,
2,704,,,0.7389408349990845,0.7371506094932556
2,704,0.7272484302520752,0.7353475689888,,
3,939,,,0.691277265548706,0.8312679529190063
3,939,0.7363958358764648,0.7209474444389343,,
4,1174,,,0.718068540096283,0.7778931856155396
4,1174,0.7389330267906189,0.7122265100479126,,
