epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7610591650009155,0.6647036671638489
0,234,0.7657741904258728,0.6519717574119568,,
1,469,,,0.781931459903717,0.6120541095733643
1,469,0.8111103773117065,0.5292758345603943,,
2,704,,,0.7978193163871765,0.5850532054901123
2,704,0.8424918055534363,0.4468144178390503,,
3,939,,,0.7878504395484924,0.6007331609725952
3,939,0.8726046681404114,0.37553420662879944,,
4,1174,,,0.7971962690353394,0.5869717001914978
4,1174,0.8975095152854919,0.3156011700630188,,
