epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.6925233602523804,0.8552753925323486
0,234,0.6256259679794312,1.0862228870391846,,
1,469,,,0.6993769407272339,0.8179562091827393
1,469,0.6586098670959473,0.9951773285865784,,
2,704,,,0.7214953303337097,0.8193919062614441
2,704,0.6614809632301331,0.9910001754760742,,
3,939,,,0.7168224453926086,0.7971410155296326
3,939,0.6602790951728821,0.975297749042511,,
4,1174,,,0.7062305212020874,0.8241176605224609
4,1174,0.6712960004806519,0.9629796743392944,,
