epoch,step,train_acc,train_loss,val_acc,val_loss
0,468,,,0.790654182434082,0.5821607112884521
0,468,0.70855313539505,0.9076087474822998,,
1,937,,,0.8149532675743103,0.5591149926185608
1,937,0.7596314549446106,0.7963858246803284,,
2,1406,,,0.8146417737007141,0.5467787384986877
2,1406,0.7892101407051086,0.7370791435241699,,
3,1875,,,0.8261682391166687,0.5294137001037598
3,1875,0.816118061542511,0.6776214838027954,,
4,2344,,,0.8183800578117371,0.5452902913093567
4,2344,0.8382853865623474,0.6381575465202332,,
5,2813,,,0.795950174331665,0.5905948281288147
5,2813,0.8525739312171936,0.6142871975898743,,
6,3282,,,0.8102803826332092,0.5654895901679993
6,3282,0.8745409846305847,0.5844799280166626,,
7,3751,,,0.8193146586418152,0.5493291020393372
7,3751,0.8848901391029358,0.5624001026153564,,
8,4220,,,0.8059189915657043,0.5731595754623413
8,4220,0.8876944780349731,0.5448542833328247,,
9,4689,,,0.7816199660301208,0.6316373348236084
9,4689,0.8923683166503906,0.5429402589797974,,
