epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7623053193092346,0.6984344720840454
0,234,0.6917940974235535,0.9254110455513,,
1,469,,,0.777258574962616,0.6650484800338745
1,469,0.7114241719245911,0.8873929381370544,,
2,704,,,0.7797507643699646,0.6454724669456482
2,704,0.726046621799469,0.8502548336982727,,
3,939,,,0.7862928509712219,0.6181466579437256
3,939,0.7400013208389282,0.8179447650909424,,
4,1174,,,0.7956386208534241,0.6200488805770874
4,1174,0.7484809756278992,0.8156599402427673,,
