epoch,step,train_acc,train_loss,val_acc,val_loss
0,468,,,0.7302180528640747,0.7657368183135986
0,468,0.6795753240585327,0.8850966095924377,,
1,937,,,0.7302180528640747,0.7656275033950806
1,937,0.717032790184021,0.7681789994239807,,
2,1406,,,0.7411214709281921,0.7396962642669678
2,1406,0.7214395403862,0.7465994954109192,,
3,1875,,,0.7183800339698792,0.7791222333908081
3,1875,0.7306536436080933,0.7383498549461365,,
4,2344,,,0.7133956551551819,0.7783854007720947
4,2344,0.7314549088478088,0.7305960655212402,,
5,2813,,,0.7373831868171692,0.730472981929779
5,2813,0.7343259453773499,0.7270392179489136,,
6,3282,,,0.6990654468536377,0.7988619804382324
6,3282,0.7377979755401611,0.7115300297737122,,
7,3751,,,0.7068535685539246,0.7937750816345215
7,3751,0.7370635271072388,0.7177702784538269,,
8,4220,,,0.7426791191101074,0.7255690693855286
8,4220,0.7385324239730835,0.7164574861526489,,
9,4689,,,0.7274143099784851,0.7623599767684937
9,4689,0.738265335559845,0.7108617424964905,,
