epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7211837768554688,0.7965129017829895
0,234,0.6712960004806519,0.9104412794113159,,
1,469,,,0.7155763506889343,0.7880227565765381
1,469,0.7156974077224731,0.7743555307388306,,
2,704,,,0.7411214709281921,0.7403194904327393
2,704,0.7240435481071472,0.7457753419876099,,
3,939,,,0.6940810084342957,0.8432636857032776
3,939,0.7356613278388977,0.7259940505027771,,
4,1174,,,0.7186915874481201,0.779435396194458
4,1174,0.7354610562324524,0.7208674550056458,,
