epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7626168131828308,0.6520894765853882
0,234,0.7619015574455261,0.6567171812057495,,
1,469,,,0.7866043448448181,0.6050774455070496
1,469,0.8063697814941406,0.5354982018470764,,
2,704,,,0.7971962690353394,0.5821419358253479
2,704,0.8385524749755859,0.45776161551475525,,
3,939,,,0.7981308698654175,0.5815898180007935
3,939,0.8655939102172852,0.3891727924346924,,
4,1174,,,0.8096573352813721,0.5740655064582825
4,1174,0.8873606324195862,0.3357650935649872,,
