epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.6697819232940674,0.9285271763801575
0,234,0.6729652285575867,0.9018791317939758,,
1,469,,,0.6576324105262756,0.9484800696372986
1,469,0.7172330617904663,0.7746593356132507,,
2,704,,,0.695015549659729,0.8736902475357056
2,704,0.7237097024917603,0.7454472780227661,,
3,939,,,0.6355140209197998,0.9988799691200256
3,939,0.733324408531189,0.7283632159233093,,
4,1174,,,0.6451713442802429,0.9583029747009277
4,1174,0.7355278134346008,0.7186585068702698,,
