epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7037383317947388,0.825474202632904
0,234,0.7546237707138062,0.6647949814796448,,
1,469,,,0.7414330244064331,0.7329601049423218
1,469,0.7932830452919006,0.5708878636360168,,
2,704,,,0.7538940906524658,0.722538948059082
2,704,0.8160513043403625,0.512482225894928,,
3,939,,,0.7473520040512085,0.7457895874977112
3,939,0.8356146216392517,0.4685603678226471,,
4,1174,,,0.7485981583595276,0.7302507162094116
4,1174,0.850437343120575,0.4361538887023926,,
