epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7021806836128235,0.8201096653938293
0,234,0.6630833745002747,0.9399791359901428,,
1,469,,,0.7071651220321655,0.812066912651062
1,469,0.705147922039032,0.8071402907371521,,
2,704,,,0.7202492356300354,0.7720286846160889
2,704,0.7148962020874023,0.7808015942573547,,
3,939,,,0.6909657120704651,0.8363155722618103
3,939,0.722307562828064,0.7655395865440369,,
4,1174,,,0.7102803587913513,0.7943148016929626
4,1174,0.7222407460212708,0.7589541077613831,,
