epoch,step,train_acc,train_loss,val_acc,val_loss
0,468,,,0.7931464314460754,0.588657796382904
0,468,0.7566936016082764,0.6873428225517273,,
1,937,,,0.7984423637390137,0.5905887484550476
1,937,0.8432930707931519,0.4353705048561096,,
2,1406,,,0.795950174331665,0.6861070394515991
2,1406,0.9066568613052368,0.2606632709503174,,
3,1875,,,0.7847352027893066,0.8020229935646057
3,1875,0.9504573941230774,0.14482730627059937,,
4,2344,,,0.7890965938568115,0.9468886852264404
4,2344,0.9718234539031982,0.08621761202812195,,
5,2813,,,0.790654182434082,0.9670470952987671
5,2813,0.9718234539031982,0.07955694943666458,,
6,3282,,,0.7853582501411438,1.0075722932815552
6,3282,0.9770314693450928,0.06330229341983795,,
7,3751,,,0.7937694787979126,1.059866189956665
7,3751,0.9768978953361511,0.06678975373506546,,
8,4220,,,0.7962616682052612,0.9851083159446716
8,4220,0.9811043739318848,0.0555000901222229,,
9,4689,,,0.7866043448448181,1.0853612422943115
9,4689,0.987781286239624,0.03478371724486351,,
