epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7626168131828308,0.6697508096694946
0,234,0.7442077994346619,0.6998605728149414,,
1,469,,,0.7788162231445312,0.6279599070549011
1,469,0.7868732213973999,0.59295254945755,,
2,704,,,0.7862928509712219,0.6043814420700073
2,704,0.8147826790809631,0.5167609453201294,,
3,939,,,0.7887850403785706,0.5990958213806152
3,939,0.8444948792457581,0.4516792595386505,,
4,1174,,,0.785981297492981,0.603736162185669
4,1174,0.8620551228523254,0.39788681268692017,,
