epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7641744613647461,0.6569477915763855
0,234,0.7659745216369629,0.644217312335968,,
1,469,,,0.7856698036193848,0.6086310744285583
1,469,0.8127128481864929,0.5316458940505981,,
2,704,,,0.7990654110908508,0.580349862575531
2,704,0.8385524749755859,0.4595215916633606,,
3,939,,,0.7875389456748962,0.5908651351928711
3,939,0.8641250133514404,0.39969077706336975,,
4,1174,,,0.7987539172172546,0.5712171792984009
4,1174,0.8818855285644531,0.35003310441970825,,
