epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7158878445625305,0.8013067841529846
0,234,0.6761033535003662,0.9054747223854065,,
1,469,,,0.7183800339698792,0.7791850566864014
1,469,0.7179675698280334,0.768614649772644,,
2,704,,,0.7271028161048889,0.7411701083183289
2,704,0.7238432168960571,0.7437830567359924,,
3,939,,,0.6947040557861328,0.8261986374855042
3,939,0.7330573797225952,0.727431058883667,,
4,1174,,,0.7183800339698792,0.7800562381744385
4,1174,0.7335914969444275,0.7227421402931213,,
