epoch,step,train_acc,train_loss,val_acc,val_loss
0,468,,,0.8074766397476196,0.5647106170654297
0,468,0.7737197279930115,0.6358444094657898,,
1,937,,,0.8015576601028442,0.5567958354949951
1,937,0.8350136876106262,0.47253820300102234,,
2,1406,,,0.8183800578117371,0.5535721182823181
2,1406,0.8608533143997192,0.39475107192993164,,
3,1875,,,0.8277258276939392,0.5304808616638184
3,1875,0.8817520141601562,0.34794357419013977,,
4,2344,,,0.7688473463058472,0.6641085743904114
4,2344,0.8976430296897888,0.3004041314125061,,
5,2813,,,0.7934579253196716,0.6222791075706482
5,2813,0.9081925749778748,0.26468706130981445,,
6,3282,,,0.7831775546073914,0.6832605004310608
6,3282,0.9254189729690552,0.22430217266082764,,
7,3751,,,0.8258566856384277,0.6410028338432312
7,3751,0.9324964880943298,0.20150427520275116,,
8,4220,,,0.8006230592727661,0.7343454957008362
8,4220,0.9393737316131592,0.1807478815317154,,
9,4689,,,0.8109034299850464,0.7520542144775391
9,4689,0.9495226144790649,0.15097135305404663,,
