epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7538940906524658,0.6680407524108887
0,234,0.7599653005599976,0.6574987173080444,,
1,469,,,0.7844236493110657,0.6156030297279358
1,469,0.7950857877731323,0.5715340375900269,,
2,704,,,0.7962616682052612,0.5841730237007141
2,704,0.8147826790809631,0.5186837911605835,,
3,939,,,0.7897196412086487,0.5896813273429871
3,939,0.8340789079666138,0.4710996747016907,,
4,1174,,,0.8021807074546814,0.5628660321235657
4,1174,0.8476998209953308,0.438114732503891,,
