epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.6694704294204712,0.9298680424690247
0,234,0.6344394683837891,1.071035623550415,,
1,469,,,0.6993769407272339,0.8592360615730286
1,469,0.6720972061157227,0.9808041453361511,,
2,704,,,0.686292827129364,0.8733053803443909
2,704,0.6738331913948059,0.9847916960716248,,
3,939,,,0.6922118663787842,0.8310509324073792
3,939,0.6797088980674744,0.9682522416114807,,
4,1174,,,0.6781931519508362,0.884842574596405
4,1174,0.6823796629905701,0.9703336358070374,,
