epoch,step,train_acc,train_loss,val_acc,val_loss
0,468,,,0.7526479959487915,0.7223491072654724
0,468,0.7152300477027893,0.9263221025466919,,
1,937,,,0.7890965938568115,0.6239518523216248
1,937,0.7643720507621765,0.8434244394302368,,
2,1406,,,0.8105918765068054,0.5837984681129456
2,1406,0.7982239723205566,0.7751897573471069,,
3,1875,,,0.7838006019592285,0.6661374568939209
3,1875,0.8241303563117981,0.7301268577575684,,
4,2344,,,0.7931464314460754,0.6266154050827026
4,2344,0.8458302617073059,0.7019277215003967,,
5,2813,,,0.813707172870636,0.5906409025192261
5,2813,0.8606529831886292,0.6745453476905823,,
6,3282,,,0.800000011920929,0.6298126578330994
6,3282,0.872204065322876,0.6693193912506104,,
7,3751,,,0.8096573352813721,0.5859849452972412
7,3751,0.8781464695930481,0.6397601366043091,,
8,4220,,,0.8059189915657043,0.6039442420005798
8,4220,0.8792148232460022,0.647773265838623,,
9,4689,,,0.8043613433837891,0.5974801182746887
9,4689,0.8943713903427124,0.6243094205856323,,
