epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7236760258674622,0.7839173078536987
0,234,0.7029445171356201,0.9197545051574707,,
1,469,,,0.7507787942886353,0.712202787399292
1,469,0.7303197979927063,0.8728717565536499,,
2,704,,,0.7629283666610718,0.684474766254425
2,704,0.7492822408676147,0.8407208323478699,,
3,939,,,0.7607476711273193,0.6882464289665222
3,939,0.7578286528587341,0.8347800374031067,,
4,1174,,,0.7856698036193848,0.6286116242408752
4,1174,0.7691126465797424,0.8179286122322083,,
