epoch,step,train_acc,train_loss,val_acc,val_loss
0,468,,,0.7289719581604004,0.7591983079910278
0,468,0.6741670370101929,0.8916521668434143,,
1,937,,,0.7246105670928955,0.7668560743331909
1,937,0.7114909291267395,0.7828158140182495,,
2,1406,,,0.7342678904533386,0.7517872452735901
2,1406,0.7203044891357422,0.7663010954856873,,
3,1875,,,0.7277258634567261,0.7484952807426453
3,1875,0.7191693782806396,0.7612289190292358,,
4,2344,,,0.7221183776855469,0.7663876414299011
4,2344,0.7177672386169434,0.7611202597618103,,
5,2813,,,0.7395638823509216,0.7227254509925842
5,2813,0.7268478274345398,0.7455099821090698,,
6,3282,,,0.6962617039680481,0.8058638572692871
6,3282,0.7335914969444275,0.7359248399734497,,
7,3751,,,0.7118380069732666,0.7981962561607361
7,3751,0.7243106365203857,0.7431777119636536,,
8,4220,,,0.7429906725883484,0.7077980637550354
8,4220,0.7255792021751404,0.738221287727356,,
9,4689,,,0.73177570104599,0.7394888997077942
9,4689,0.726380467414856,0.7415882349014282,,
