epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7183800339698792,0.7972326278686523
0,234,0.6680910587310791,0.9183849692344666,,
1,469,,,0.7208722829818726,0.774577260017395
1,469,0.7072177529335022,0.7873302698135376,,
2,704,,,0.7389408349990845,0.7292304635047913
2,704,0.7201041579246521,0.7597407698631287,,
3,939,,,0.7052959203720093,0.8102352619171143
3,939,0.7250450849533081,0.7509784698486328,,
4,1174,,,0.7190031409263611,0.7701021432876587
4,1174,0.7243773937225342,0.7479166984558105,,
