epoch,step,train_acc,train_loss,val_acc,val_loss
0,468,,,0.8084112405776978,0.5634521842002869
0,468,0.7636376023292542,0.6597785353660583,,
1,937,,,0.8177570104598999,0.5143526196479797
1,937,0.8134472966194153,0.5255711674690247,,
2,1406,,,0.836137056350708,0.505516767501831
2,1406,0.8308740258216858,0.47063660621643066,,
3,1875,,,0.8258566856384277,0.5010759830474854
3,1875,0.8417573571205139,0.43681395053863525,,
4,2344,,,0.8052959442138672,0.5676171779632568
4,2344,0.8503038287162781,0.4159451723098755,,
5,2813,,,0.836448609828949,0.47597187757492065
5,2813,0.8613206744194031,0.39996859431266785,,
6,3282,,,0.8236759901046753,0.5333215594291687
6,3282,0.8691994547843933,0.36126509308815,,
7,3751,,,0.8336448669433594,0.5174997448921204
7,3751,0.8724043369293213,0.35443300008773804,,
8,4220,,,0.8165109157562256,0.5590205788612366
8,4220,0.8816852569580078,0.32897987961769104,,
9,4689,,,0.8358255624771118,0.5611939430236816
9,4689,0.8864258527755737,0.3198387026786804,,
