epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7657321095466614,0.6524873971939087
0,234,0.750684380531311,0.6839750409126282,,
1,469,,,0.7844236493110657,0.600823700428009
1,469,0.7789944410324097,0.6108719706535339,,
2,704,,,0.8009345531463623,0.5681869983673096
2,704,0.798424243927002,0.5641095638275146,,
3,939,,,0.8056074976921082,0.5555040240287781
3,939,0.8106429576873779,0.5289314389228821,,
4,1174,,,0.8099688291549683,0.5336165428161621
4,1174,0.814582347869873,0.5151148438453674,,
