epoch,step,train_acc,train_loss,val_acc,val_loss
0,468,,,0.6834890842437744,0.8655449151992798
0,468,0.6628163456916809,0.9287527203559875,,
1,937,,,0.691277265548706,0.8623666167259216
1,937,0.7026774287223816,0.8175457715988159,,
2,1406,,,0.7077881693840027,0.8213016986846924
2,1406,0.7050143480300903,0.7990649938583374,,
3,1875,,,0.6987538933753967,0.8416707515716553
3,1875,0.7087534070014954,0.7980796694755554,,
4,2344,,,0.6691588759422302,0.8998345732688904
4,2344,0.7110903263092041,0.7863273024559021,,
5,2813,,,0.7190031409263611,0.7984809279441833
5,2813,0.7189691066741943,0.7778339982032776,,
6,3282,,,0.654828667640686,0.9317156076431274
6,3282,0.71583092212677,0.7711419463157654,,
7,3751,,,0.6660436391830444,0.920474648475647
7,3751,0.716498613357544,0.7793385982513428,,
8,4220,,,0.7261682152748108,0.7813801169395447
8,4220,0.716498613357544,0.7755557298660278,,
9,4689,,,0.7109034061431885,0.8393366932868958
9,4689,0.7181678414344788,0.774706244468689,,
