epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.6869158744812012,0.8597850203514099
0,234,0.6590772271156311,0.9509323239326477,,
1,469,,,0.6769470572471619,0.8726774454116821
1,469,0.6981371641159058,0.8260030746459961,,
2,704,,,0.7130841016769409,0.8016639351844788
2,704,0.7080857157707214,0.7971482276916504,,
3,939,,,0.641121506690979,0.9540719985961914
3,939,0.7128263115882874,0.7847879528999329,,
4,1174,,,0.6881619691848755,0.8422043919563293
4,1174,0.7151632308959961,0.7730156779289246,,
