epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7395638823509216,0.7264078259468079
0,234,0.7426053285598755,0.6999849081039429,,
1,469,,,0.7760124802589417,0.634569525718689
1,469,0.7737197279930115,0.615904688835144,,
2,704,,,0.7919003367424011,0.5965430736541748
2,704,0.7942178249359131,0.5615703463554382,,
3,939,,,0.7934579253196716,0.5867054462432861
3,939,0.8090405464172363,0.5235623121261597,,
4,1174,,,0.7937694787979126,0.5730195045471191
4,1174,0.8221940398216248,0.4910898506641388,,
