epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7034267783164978,0.8223753571510315
0,234,0.6676236987113953,0.9157755374908447,,
1,469,,,0.7015576362609863,0.8238164782524109
1,469,0.7128263115882874,0.7809328436851501,,
2,704,,,0.7174454927444458,0.7959088087081909
2,704,0.7241770625114441,0.7564936280250549,,
3,939,,,0.6975077986717224,0.8387877941131592
3,939,0.7305868864059448,0.73978590965271,,
4,1174,,,0.7043613791465759,0.8220934271812439
4,1174,0.7263137102127075,0.7402616739273071,,
