epoch,step,train_acc,train_loss,val_acc,val_loss
0,468,,,0.7925233840942383,0.5832605957984924
0,468,0.7725178599357605,0.6421358585357666,,
1,937,,,0.80467289686203,0.5637536644935608
1,937,0.8302730917930603,0.483521044254303,,
2,1406,,,0.7978193163871765,0.6135105490684509
2,1406,0.8586499094963074,0.3979857861995697,,
3,1875,,,0.8043613433837891,0.612295389175415
3,1875,0.8819523453712463,0.3424415588378906,,
4,2344,,,0.790965735912323,0.6179114580154419
4,2344,0.9008479714393616,0.29087233543395996,,
5,2813,,,0.800000011920929,0.6398489475250244
5,2813,0.9134005308151245,0.25394222140312195,,
6,3282,,,0.7850467562675476,0.7112930417060852
6,3282,0.923015296459198,0.21895268559455872,,
7,3751,,,0.8056074976921082,0.6368798017501831
7,3751,0.9348334074020386,0.19469812512397766,,
8,4220,,,0.7744548320770264,0.7564123272895813
8,4220,0.9495226144790649,0.15654319524765015,,
9,4689,,,0.795950174331665,0.731280505657196
9,4689,0.951725959777832,0.1458158642053604,,
