epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7423676252365112,0.7081152200698853
0,234,0.7566936016082764,0.6716551184654236,,
1,469,,,0.7570093274116516,0.6751193404197693
1,469,0.7922147512435913,0.5801812410354614,,
2,704,,,0.7694703936576843,0.6512829661369324
2,704,0.816451907157898,0.5236305594444275,,
3,939,,,0.7760124802589417,0.628764808177948
3,939,0.8324764370918274,0.4746018052101135,,
4,1174,,,0.782243013381958,0.6089820265769958
4,1174,0.8479669094085693,0.4428815543651581,,
