epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7121495604515076,0.8042212128639221
0,234,0.6698938608169556,0.9172516465187073,,
1,469,,,0.7096573114395142,0.7988740801811218
1,469,0.7116912603378296,0.7849606871604919,,
2,704,,,0.726791262626648,0.7572315335273743
2,704,0.7227749228477478,0.7476818561553955,,
3,939,,,0.6906542181968689,0.8454955816268921
3,939,0.7317219972610474,0.7342838644981384,,
4,1174,,,0.7046728730201721,0.8113319873809814
4,1174,0.730119526386261,0.7288311719894409,,
