epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7588785290718079,0.6745278239250183
0,234,0.7575616240501404,0.6626154780387878,,
1,469,,,0.7831775546073914,0.6120468378067017
1,469,0.7988916635513306,0.5571606755256653,,
2,704,,,0.7912772297859192,0.5922911167144775
2,704,0.8245977163314819,0.4940851032733917,,
3,939,,,0.7919003367424011,0.5925299525260925
3,939,0.8467650413513184,0.43895474076271057,,
4,1174,,,0.7940809726715088,0.5743714570999146
4,1174,0.8602523803710938,0.401279479265213,,
