transform,train_acc,val_acc,train_loss,val_loss
hor_flip,0.8818855285644531,0.7987539172172546,0.35003310441970825,0.5712171792984009
ver_flip,0.8702677488327026,0.7953271269798279,0.3790455162525177,0.5753289461135864
hor_ver_flip,0.8476998209953308,0.8021807074546814,0.438114732503891,0.5628660321235657
rotate45,0.8221940398216248,0.7937694787979126,0.4910898506641388,0.5730195045471191
rotate_multi,0.8479669094085693,0.782243013381958,0.4428815543651581,0.6089820265769958
dihedral,0.850437343120575,0.7485981583595276,0.4361538887023926,0.7302507162094116
resizedcrop,0.814582347869873,0.8099688291549683,0.5151148438453674,0.5336165428161621
shearing,0.8602523803710938,0.7940809726715088,0.401279479265213,0.5743714570999146
brightness,0.8911664485931396,0.7984423637390137,0.327823281288147,0.5860611200332642
contrast,0.8975095152854919,0.7971962690353394,0.3156011700630188,0.5869717001914978
colormix,0.8082392811775208,0.7838006019592285,0.5367710590362549,0.6184492707252502
grayscale,0.8620551228523254,0.785981297492981,0.39788681268692017,0.603736162185669
blurring,0.9000467658042908,0.7841121554374695,0.3119840621948242,0.6089189052581787
cutout,0.8873606324195862,0.8096573352813721,0.3357650935649872,0.5740655064582825
mixup,0.7691126465797424,0.7856698036193848,0.8179286122322083,0.6286116242408752
cutmix,0.7484809756278992,0.7956386208534241,0.8156599402427673,0.6200488805770874
no_transforms,-1,0.7994,-1,-1
