epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.718068540096283,0.8006191849708557
0,234,0.674567699432373,0.9048557877540588,,
1,469,,,0.7056074738502502,0.7912308573722839
1,469,0.7181010842323303,0.7692969441413879,,
2,704,,,0.7305296063423157,0.7479550242424011
2,704,0.7275155186653137,0.7427409291267395,,
3,939,,,0.6872274279594421,0.8389617800712585
3,939,0.7357949018478394,0.7226449847221375,,
4,1174,,,0.718068540096283,0.7733938694000244
4,1174,0.737397313117981,0.7161784768104553,,
