epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7551401853561401,0.6706913113594055
0,234,0.760365903377533,0.658212423324585,,
1,469,,,0.7869158983230591,0.6172385811805725
1,469,0.8027642369270325,0.5493141412734985,,
2,704,,,0.7953271269798279,0.5905729532241821
2,704,0.8318755626678467,0.4811173975467682,,
3,939,,,0.7862928509712219,0.5940572023391724
3,939,0.8513053059577942,0.42826658487319946,,
4,1174,,,0.7953271269798279,0.5753289461135864
4,1174,0.8702677488327026,0.3790455162525177,,
