epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7657321095466614,0.6487926244735718
0,234,0.7703812718391418,0.6286144852638245,,
1,469,,,0.7716510891914368,0.6351310610771179
1,469,0.8313413858413696,0.4769442081451416,,
2,704,,,0.7651090621948242,0.6610495448112488
2,704,0.8719369769096375,0.3788108825683594,,
3,939,,,0.7934579253196716,0.6146679520606995
3,939,0.9095279574394226,0.2915074825286865,,
4,1174,,,0.7912772297859192,0.6335282921791077
4,1174,0.9409761428833008,0.22083471715450287,,
5,1409,,,0.7903426885604858,0.6379727125167847
5,1409,0.965680718421936,0.16188600659370422,,
6,1644,,,0.790654182434082,0.6543448567390442
6,1644,0.9827736020088196,0.1150343045592308,,
7,1879,,,0.7800623178482056,0.7059803605079651
7,1879,0.9913867712020874,0.08408250659704208,,
8,2114,,,0.7728971838951111,0.7508788108825684
8,2114,0.9967950582504272,0.05791548267006874,,
9,2349,,,0.7856698036193848,0.7294812202453613
9,2349,0.9988649487495422,0.04109328240156174,,
10,2584,,,0.7862928509712219,0.7428223490715027
10,2584,0.9992655515670776,0.03194810450077057,,
11,2819,,,0.7875389456748962,0.7710996270179749
11,2819,0.999666154384613,0.023855088278651237,,
12,3054,,,0.7847352027893066,0.7773239612579346
12,3054,0.9999332427978516,0.019158927723765373,,
13,3289,,,0.7943925261497498,0.7915216088294983
13,3289,0.9998664855957031,0.014880332164466381,,
14,3524,,,0.795950174331665,0.8061798214912415
14,3524,0.9997996687889099,0.013105952180922031,,
