epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7224299311637878,0.7923258543014526
0,234,0.6720304489135742,0.9055280685424805,,
1,469,,,0.7196261882781982,0.7738184928894043
1,469,0.7233090996742249,0.7542396187782288,,
2,704,,,0.7364485859870911,0.7369158267974854
2,704,0.7336582541465759,0.7240684032440186,,
3,939,,,0.6940810084342957,0.836370050907135
3,939,0.742538571357727,0.7048358917236328,,
4,1174,,,0.7137071490287781,0.7790493965148926
4,1174,0.7426720857620239,0.6978632211685181,,
