epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7205607295036316,0.8072182536125183
0,234,0.6680910587310791,0.9225852489471436,,
1,469,,,0.717756986618042,0.7843155860900879
1,469,0.7130934000015259,0.7885501980781555,,
2,704,,,0.7342678904533386,0.7478471398353577
2,704,0.7217733860015869,0.7607297897338867,,
3,939,,,0.6897196173667908,0.8414685130119324
3,939,0.72891765832901,0.7419611215591431,,
4,1174,,,0.7115264534950256,0.791070282459259
4,1174,0.7271149158477783,0.7440996766090393,,
