epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7598130702972412,0.6630727648735046
0,234,0.7514855861663818,0.6780685186386108,,
1,469,,,0.7834891080856323,0.6151359677314758
1,469,0.785337507724762,0.5917975902557373,,
2,704,,,0.7962616682052612,0.5821380615234375
2,704,0.8051679134368896,0.544558584690094,,
3,939,,,0.7968847155570984,0.5696592330932617
3,939,0.8213260173797607,0.5033062100410461,,
4,1174,,,0.8037382960319519,0.5557577013969421
4,1174,0.8332109451293945,0.47200971841812134,,
