epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.6978192925453186,0.8504684567451477
0,234,0.6603458523750305,0.9355857968330383,,
1,469,,,0.6947040557861328,0.8368488550186157
1,469,0.7030112743377686,0.8117892742156982,,
2,704,,,0.7261682152748108,0.7625117301940918
2,704,0.7077518701553345,0.7845790386199951,,
3,939,,,0.6666666865348816,0.8797621726989746
3,939,0.7197035551071167,0.7627652883529663,,
4,1174,,,0.686292827129364,0.8585736751556396
4,1174,0.7180343270301819,0.7664149403572083,,
