epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7482866048812866,0.7111042141914368
0,234,0.7464779615402222,0.6967825293540955,,
1,469,,,0.7694703936576843,0.6606632471084595
1,469,0.7703144550323486,0.6289966702461243,,
2,704,,,0.7856698036193848,0.6120097041130066
2,704,0.789410412311554,0.5886966586112976,,
3,939,,,0.7881619930267334,0.5996835827827454
3,939,0.7976230382919312,0.5599931478500366,,
4,1174,,,0.7934579253196716,0.5809358358383179
4,1174,0.8091740608215332,0.5330585837364197,,
