epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.6928349137306213,0.8527725338935852
0,234,0.6664885878562927,0.927023708820343,,
1,469,,,0.6816199421882629,0.8628440499305725
1,469,0.7019429802894592,0.8064482808113098,,
2,704,,,0.7202492356300354,0.7846331596374512
2,704,0.7157641649246216,0.7772417068481445,,
3,939,,,0.6828660368919373,0.8623339533805847
3,939,0.7225078344345093,0.7578173875808716,,
4,1174,,,0.6632398962974548,0.9085164666175842
4,1174,0.719569981098175,0.7562155723571777,,
