epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.726791262626648,0.751889169216156
0,234,0.7442745566368103,0.6987951993942261,,
1,469,,,0.7638629078865051,0.6590182781219482
1,469,0.7716498374938965,0.6353870034217834,,
2,704,,,0.7794392704963684,0.6252403855323792
2,704,0.7868732213973999,0.5914174318313599,,
3,939,,,0.7841121554374695,0.6088902354240417
3,939,0.8026307225227356,0.5576277375221252,,
4,1174,,,0.7890965938568115,0.5890082120895386
4,1174,0.8053014874458313,0.5438400506973267,,
