epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.6828660368919373,0.884730875492096
0,234,0.6626160144805908,0.9378877282142639,,
1,469,,,0.6822429895401001,0.8687335252761841
1,469,0.6976029872894287,0.8153488636016846,,
2,704,,,0.7242990732192993,0.7701349854469299
2,704,0.7061494588851929,0.7871398329734802,,
3,939,,,0.6492211818695068,0.9147133231163025
3,939,0.7147626280784607,0.7725830674171448,,
4,1174,,,0.6679127812385559,0.8944550156593323
4,1174,0.7162315845489502,0.7728692889213562,,
