epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7411214709281921,0.7171509265899658
0,234,0.7365961074829102,0.7165138125419617,,
1,469,,,0.7676012516021729,0.658890426158905
1,469,0.7669092416763306,0.6423558592796326,,
2,704,,,0.7744548320770264,0.6443049311637878
2,704,0.782132625579834,0.6075586676597595,,
3,939,,,0.7672896981239319,0.6503174304962158
3,939,0.7949522733688354,0.5713016986846924,,
4,1174,,,0.8009345531463623,0.5778752565383911
4,1174,0.7970888614654541,0.557115375995636,,
