epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7928348779678345,0.6261642575263977
0,234,0.9185417890548706,0.26733115315437317,,
1,469,,,0.7919003367424011,0.6279671788215637
1,469,0.9412432312965393,0.21243229508399963,,
2,704,,,0.7950155735015869,0.6470281481742859
2,704,0.9632102847099304,0.15823879837989807,,
3,939,,,0.7897196412086487,0.6646208763122559
3,939,0.9759631156921387,0.12220081686973572,,
4,1174,,,0.790965735912323,0.6811533570289612
4,1174,0.9854443669319153,0.09444381296634674,,
5,1409,,,0.7841121554374695,0.7310801148414612
5,1409,0.992188036441803,0.07019911706447601,,
6,1644,,,0.7922118306159973,0.718356728553772
6,1644,0.9952594041824341,0.05220508575439453,,
7,1879,,,0.7943925261497498,0.7297479510307312
7,1879,0.9971289038658142,0.04195479676127434,,
8,2114,,,0.7763239741325378,0.801114022731781
8,2114,0.9979969263076782,0.032513171434402466,,
9,2349,,,0.7788162231445312,0.7958512306213379
9,2349,0.9989984631538391,0.026594331488013268,,
10,2584,,,0.7856698036193848,0.8081580400466919
10,2584,0.9993990659713745,0.01994931884109974,,
11,2819,,,0.7728971838951111,0.870561957359314
11,2819,0.9992655515670776,0.017229974269866943,,
12,3054,,,0.7922118306159973,0.8069714903831482
12,3054,0.9993990659713745,0.014822594821453094,,
13,3289,,,0.7778816223144531,0.869705319404602
13,3289,0.9993990659713745,0.013016569428145885,,
14,3524,,,0.7794392704963684,0.854004442691803
14,3524,0.9992655515670776,0.011953381821513176,,
