epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7937694787979126,0.6242245435714722
0,234,0.9396407604217529,0.22318431735038757,,
1,469,,,0.7925233840942383,0.6384296417236328
1,469,0.965680718421936,0.16268418729305267,,
2,704,,,0.7856698036193848,0.6603584289550781
2,704,0.9799692630767822,0.11761962622404099,,
3,939,,,0.790654182434082,0.6696460247039795
3,939,0.9921212792396545,0.08229557424783707,,
4,1174,,,0.781931459903717,0.7153943181037903
4,1174,0.9964612126350403,0.05785684660077095,,
5,1409,,,0.7928348779678345,0.734379231929779
5,1409,0.998798131942749,0.04157603532075882,,
6,1644,,,0.7894080877304077,0.7296128273010254
6,1644,0.9991987943649292,0.03254423290491104,,
7,1879,,,0.7915887832641602,0.7661824822425842
7,1879,0.999465823173523,0.02378973737359047,,
8,2114,,,0.7897196412086487,0.7715598940849304
8,2114,0.9997329115867615,0.019275926053524017,,
9,2349,,,0.7953271269798279,0.7923598289489746
9,2349,0.9998664855957031,0.01531225722283125,,
10,2584,,,0.7890965938568115,0.8312839269638062
10,2584,0.999666154384613,0.013333451002836227,,
11,2819,,,0.7881619930267334,0.8205387592315674
11,2819,0.9998664855957031,0.011389446444809437,,
12,3054,,,0.7838006019592285,0.857377290725708
12,3054,1.0,0.008556157350540161,,
13,3289,,,0.7950155735015869,0.844820499420166
13,3289,0.9998664855957031,0.007743385154753923,,
14,3524,,,0.7934579253196716,0.8505909442901611
14,3524,0.9999332427978516,0.006849233992397785,,
