epoch,step,train_acc,train_loss,val_acc,val_loss
0,234,,,0.7791277170181274,0.6294785141944885
0,234,0.7695800065994263,0.6343331933021545,,
1,469,,,0.7853582501411438,0.6293112635612488
1,469,0.7888762950897217,0.5872778296470642,,
2,704,,,0.7853582501411438,0.6067955493927002
2,704,0.7980236411094666,0.5570470690727234,,
3,939,,,0.7981308698654175,0.5836263298988342
3,939,0.8029645681381226,0.547688364982605,,
4,1174,,,0.808722734451294,0.5582302808761597
4,1174,0.8091073036193848,0.5281556844711304,,
5,1409,,,0.8031152486801147,0.5581963062286377
5,1409,0.8161848187446594,0.5149733424186707,,
6,1644,,,0.8109034299850464,0.5361575484275818
6,1644,0.8183882236480713,0.5076314210891724,,
7,1879,,,0.8102803826332092,0.5385634899139404
7,1879,0.8221940398216248,0.4955533444881439,,
8,2114,,,0.808722734451294,0.5344181656837463
8,2114,0.8253321647644043,0.4849194288253784,,
9,2349,,,0.8230529427528381,0.5185388326644897
9,2349,0.8325432538986206,0.47839275002479553,,
10,2584,,,0.8264797329902649,0.5125872492790222
10,2584,0.8279361724853516,0.47838836908340454,,
11,2819,,,0.8149532675743103,0.5408280491828918
11,2819,0.8296054005622864,0.4728568494319916,,
12,3054,,,0.8295950293540955,0.5117092728614807
12,3054,0.8372838497161865,0.4596400558948517,,
13,3289,,,0.8214953541755676,0.5209899544715881
13,3289,0.8402884602546692,0.4495590031147003,,
14,3524,,,0.8193146586418152,0.524273693561554
14,3524,0.8411564230918884,0.4418732523918152,,
